L1_Background,N_Speakers,WER_Min,WER_Max,WER_Range,WER_Mean,Accent_Min,Accent_Max,Accent_Range,Accent_Mean,Within_r,Within_p
Arabic,4,0.3228697457900997,0.4513321352387061,0.12846238944860638,0.3672791077981489,2.4,4.8,2.4,3.35,0.9333,0.0667
Chinese,4,0.3535359198124215,0.4105671884849604,0.05703126867253888,0.3858691048016577,1.8,3.2,1.4000000000000001,2.65,0.1988,0.8012
Hindi,4,0.2605866306838038,0.306594866475503,0.046008235791699215,0.27813604059149744,2.2,4.4,2.2,3.4000000000000004,-0.9554,0.0446
Korean,4,0.2753878943534116,0.3749445416554169,0.09955664730200531,0.31662157777873956,1.0,2.8,1.7999999999999998,1.8499999999999999,0.9072,0.0928
Spanish,4,0.3080354666927105,0.4468864675542928,0.1388510008615823,0.36518996421938016,1.8,4.4,2.6000000000000005,3.0000000000000004,0.9499,0.0501
Vietnamese,4,0.3380217225844434,0.520864816867467,0.1828430942830236,0.4632922902578379,1.6,3.2,1.6,2.55,0.9139,0.0861
